State Name,State Name [State] 2013-14,ANSI/FIPS State Code [State] Latest available year,Instruction Expenditures - Salaries (E11) [State Finance] 2012-13,Instruction Expenditures - Salaries (E11) [State Finance] 2011-12,Instruction Expenditures - Salaries (E11) [State Finance] 2010-11,Instruction Expenditures - Salaries (E11) [State Finance] 2009-10,Instruction Expenditures - Salaries (E11) [State Finance] 2008-09,Instruction Expenditures - Salaries (E11) [State Finance] 2007-08,Instruction Expenditures - Salaries (E11) [State Finance] 2006-07,Instruction Expenditures - Salaries (E11) [State Finance] 2005-06,Instruction Expenditures - Salaries (E11) [State Finance] 2004-05
ALABAMA,AL,="01",2454717450,2442365193,2500992746,2527833534,2538696534,2553753211,2377493739,2175489042,2021674162
ALASKA,AK,="02",682495826,673081514,666918708,641431359,605309764,578916138,561122474,551604528,531231377
ARIZONA,AZ,="04",3070786593,3027600745,3256512906,3359861432,3531455165,3392319069,3512387495,3434476964,3179672460
ARKANSAS,AR,="05",1803661213,1791543470,1798852379,1757604021,1716716223,1689264640,1654161613,1591695691,1521529680
CALIFORNIA,CA,="06",22901586775,22845108454,22874871130,23503106187,24365951573,24408875167,23220351373,21714002608,20911505004
COLORADO,CO,="08",3034027461,2987371902,3018418325,3059053410,2970930299,2815247254,2683761748,2547089097,2456368550
CONNECTICUT,CT,="09",3671907651,3597321000,3601405478,3544680769,3444803590,3343802807,3221094679,3107054505,2986242698
DELAWARE,DE,10,661953983,675131067,643670733,607857133,595656994,578066875,554261330,539576609,512940929
DISTRICT OF COLUMBIA,DC,11,562913811,565155854,451340550,458470012,395532249,420355775,370902174,347191986,360376201
FLORIDA,FL,12,8687300405,8614099045,8826444840,8699434850,8945024413,9189112269,8698563955,8030592580,7337810292
GEORGIA,GA,13,6489862795,6626114113,6661759527,6863150270,7143975974,6890147212,6514218729,6115822367,5664480313
HAWAII,HI,15,822898824,814925708,829259660,812429181,868443739,825054797,747615098,691901586,665680591
IDAHO,ID,16,811854638,776700557,801451130,829549327,826522070,795234967,761039893,728449510,699197265
ILLINOIS,IL,17,9727147011,9543025872,9447166391,9541183966,9200780130,8780141260,8482248700,8140977371,7885665952
INDIANA,IN,18,3591801523,3642956169,3668623721,3808314327,3710505547,3681735767,3617653302,3526275076,3455469262
IOWA,IA,19,2206409794,2136792980,2111774256,2111224411,2085292332,1952930339,1831829559,1731958131,1663162216
KANSAS,KS,20,2087914845,2082097744,2075509896,2109133842,2131867271,2039934061,1942380351,1790934320,1655301711
KENTUCKY,KY,21,2583237624,2597859229,2580066539,2557261905,2497940905,2477698439,2294710371,2205061272,2092737488
LOUISIANA,LA,22,2681984672,2742735348,2869598796,2912228563,2886091052,2720712574,2376886984,2177515055,2307792884
MAINE,ME,23,908536796,905607610,914977092,912900277,899047406,921456150,909372549,887880433,861725599
MARYLAND,MD,24,4694570830,4632076120,4708564048,4768638753,4715494613,4545794776,4176924533,3847723974,3610219291
MASSACHUSETTS,MA,25,6068434743,5877769196,5644823264,5536312788,5471800817,5285693418,5096761673,4884789590,4796360336
MICHIGAN,MI,26,5432104105,5565713594,5711512003,6046626936,6092786143,6022723390,6033411791,5968872406,6014909024
MINNESOTA,MN,27,4184252754,4058507804,4026985258,3962598118,3890982226,3771176184,3637088697,3492567954,3370833600
MISSISSIPPI,MS,28,1579059251,1577426548,1569390946,1651701921,1628917874,1608319306,1527445071,1492214268,1404792548
MISSOURI,MO,29,3679534375,3619732752,3632510355,3773166932,3742157266,3621223795,3421988667,3274032687,3094448780
MONTANA,MT,30,606370694,593487044,601939136,595725171,571818874,555735430,527087019,503417005,506800702
NEBRASKA,NE,31,1505034649,1407204508,1425175509,1375800034,1370627572,1319901807,1242155474,1169219902,1108500671
NEVADA,NV,32,1353136450,1381695602,1439112846,1428341688,1423181362,1371429360,1288365684,1161262391,1088201492
NEW HAMPSHIRE,NH,33,1042544719,1035562698,1045325579,1029385441,1001598794,967073625,923297899,884469985,848935385
NEW JERSEY,NJ,34,9329281207,9110276732,9006685928,9318553715,8958240849,8661066891,8378667785,7989985044,7628928668
NEW MEXICO,NM,35,1220165814,1212443944,1227588088,1267211758,1262434884,1220474796,1155350557,1071393749,1013105157
NEW YORK,NY,36,22291798554,22224345077,22145426340,22419307008,21827433438,20863490167,19890546535,18794178144,17887339693
NORTH CAROLINA,NC,37,5405041482,5318474687,5450500572,5495032747,5851080457,5464226279,5214143360,4799375411,4596115281
NORTH DAKOTA,ND,38,470449919,446277447,426980036,405128999,386587329,369246416,349539064,373357663,363547726
OHIO,OH,39,7168926361,7295353861,7419241953,7436422114,7302474749,7134459604,6956246867,6862710364,6695110711
OKLAHOMA,OK,40,2073159122,2036896074,2017034173,2091723624,2059085862,2035769518,1980251792,1798102596,1703711048
OREGON,OR,41,1832779367,1836483941,1927066961,1936211419,1948924024,1903277026,1803174509,1718148370,1657492898
PENNSYLVANIA,PA,42,9035398037,9045636393,9318410119,9078091010,8725192001,8376840204,8113797555,7929952469,7729507325
RHODE ISLAND,RI,44,831416315,860983228,861667662,834178235,825839590,824987382,801445099,772229261,753420728
SOUTH CAROLINA,SC,45,2693305623,2571504655,2569307630,2651843810,2719580648,2612886311,2464464221,2362086449,2238242467
SOUTH DAKOTA,SD,46,441855420,433855114,449743394,444366719,421782446,405552351,385267338,373392954,365791373
TENNESSEE,TN,47,3545256651,3483790952,3467349792,3400112306,3368416674,3273963709,3114462501,2967408090,2886429838
TEXAS,TX,48,19297810131,18848804581,19881407108,19686185123,18866604132,18006206244,16501840560,15509624487,14707325431
UTAH,UT,49,1551598270,1514905517,1503172236,1489881493,1500840247,1411871243,1239770747,1156630100,1107736871
VERMONT,VT,50,581609627,569350961,566646800,572576744,551703336,533205542,511890573,499245717,473927040
VIRGINIA,VA,51,5739910326,5651526313,5573463752,5674421720,5737097276,5546234649,5322566771,5024000249,4736657916
WASHINGTON,WA,53,4025955297,3962432531,4120582291,4053728130,4050112414,3818642233,3597763904,3440701988,3349597464
WEST VIRGINIA,WV,54,1132540683,1146316188,1116784886,1115189822,1114275450,1052098096,999056520,973076963,942870198
WISCONSIN,WI,55,3733732785,3707667522,3855316972,3763087242,3711184204,3571389694,3468057317,3396492808,3331504051
WYOMING,WY,56,555466980,550835923,539711280,527000025,504323903,479265386,446081378,378853321,342026746
